rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_logistic__C,param_logistic__class_weight
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.6388837337493896,"(1, 2)",2,0.85,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.8226982593536377,"(1, 1)",3,0.85,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.4109867572784425,"(1, 2)",3,0.85,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.861815357208252,"(1, 1)",2,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.428659772872925,"(1, 2)",2,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.8520367622375489,"(1, 1)",3,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.4471236705780028,"(1, 2)",3,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9691449165344238,"(1, 1)",2,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.7269105911254883,"(1, 2)",2,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.0330442905426025,"(1, 1)",3,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.7347002506256104,"(1, 2)",3,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.2641443729400634,"(1, 1)",2,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,2.2672030448913576,"(1, 2)",2,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.3892610549926758,"(1, 1)",3,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,2.241145896911621,"(1, 2)",3,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.2683792114257812,"(1, 1)",2,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,2.151284170150757,"(1, 2)",2,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.2529179096221923,"(1, 1)",3,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,2.0336321353912354,"(1, 2)",3,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.2260146141052246,"(1, 1)",2,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,2.1528587341308594,"(1, 2)",2,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.2332090854644775,"(1, 1)",3,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,2.0936993598937987,"(1, 2)",3,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.0794248580932617,"(1, 1)",2,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.8918216705322266,"(1, 2)",2,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.0410932064056397,"(1, 1)",3,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.6439280033111572,"(1, 2)",3,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9955245018005371,"(1, 1)",2,0.9,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.684804344177246,"(1, 2)",2,0.9,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9829168319702148,"(1, 1)",3,0.9,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.6478049755096436,"(1, 2)",3,0.9,1.0,
