rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_logistic__C,param_logistic__class_weight
49,0.45851779739802423,0.07115809844007208,1.0,0.0,1.0230087280273437,"(1, 1)",2,0.85,10.0,balanced
49,0.45851779739802423,0.07115809844007208,1.0,0.0,1.1240288257598876,"(1, 1)",2,0.9,10.0,balanced
49,0.45851779739802423,0.07115809844007208,1.0,0.0,0.8475837230682373,"(1, 1)",2,0.95,10.0,balanced
52,0.45848895823268637,0.07127129971641216,1.0,0.0,1.82953200340271,"(1, 2)",3,0.85,10.0,balanced
52,0.45848895823268637,0.07127129971641216,1.0,0.0,1.4244676113128663,"(1, 2)",3,0.9,10.0,balanced
52,0.45848895823268637,0.07127129971641216,1.0,0.0,1.4392058372497558,"(1, 2)",3,0.95,10.0,balanced
55,0.45711087817790963,0.04072709597761403,1.0,0.0,0.8704017639160156,"(1, 1)",2,0.85,100.0,balanced
55,0.45711087817790963,0.04072709597761403,1.0,0.0,0.9000978469848633,"(1, 1)",2,0.9,100.0,balanced
55,0.45711087817790963,0.04072709597761403,1.0,0.0,0.8813673496246338,"(1, 1)",2,0.95,100.0,balanced
58,0.45611655926029704,0.04951477824051227,1.0,0.0,0.8721024513244628,"(1, 1)",3,0.85,100.0,balanced
58,0.45611655926029704,0.04951477824051227,1.0,0.0,0.8594344139099122,"(1, 1)",3,0.95,100.0,balanced
60,0.4557339418612143,0.04177169101788966,1.0,0.0,1.4706358432769775,"(1, 2)",2,0.95,10.0,balanced
61,0.44613584548543894,0.06004117054497268,0.9920610303513504,0.004993200605145062,2.454694652557373,"(1, 2)",2,0.85,1.0,balanced
61,0.44613584548543894,0.06004117054497268,0.9920610303513504,0.004993200605145062,2.3165242195129396,"(1, 2)",2,0.9,1.0,balanced
61,0.44613584548543894,0.06004117054497268,0.9920610303513504,0.004993200605145062,1.776364803314209,"(1, 2)",2,0.95,1.0,balanced
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9284935474395752,"(1, 1)",2,0.85,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.494988250732422,"(1, 2)",2,0.85,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.7543530464172363,"(1, 1)",3,0.85,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.2728482246398927,"(1, 2)",3,0.85,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.7986933708190918,"(1, 1)",2,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.5165416240692138,"(1, 2)",2,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.8449145793914795,"(1, 1)",3,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.336588191986084,"(1, 2)",3,0.9,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.8157639026641845,"(1, 1)",2,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.399237060546875,"(1, 2)",2,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.8305687427520752,"(1, 1)",3,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.3781548023223877,"(1, 2)",3,0.95,0.01,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.8744734287261963,"(1, 1)",2,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.4653800487518311,"(1, 2)",2,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9237945556640625,"(1, 1)",3,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.4938340663909913,"(1, 2)",3,0.85,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9103577613830567,"(1, 1)",2,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.6016876220703125,"(1, 2)",2,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.947041368484497,"(1, 1)",3,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.5529458045959472,"(1, 2)",3,0.9,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9126986980438232,"(1, 1)",2,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.6081820964813232,"(1, 2)",2,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9288037300109864,"(1, 1)",3,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.6548068046569824,"(1, 2)",3,0.95,0.1,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9707959651947021,"(1, 1)",2,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.5504125595092773,"(1, 2)",2,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9289896488189697,"(1, 1)",3,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.516044807434082,"(1, 2)",3,0.85,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9877506256103515,"(1, 1)",2,0.9,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.6321857452392579,"(1, 2)",2,0.9,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.8865408420562744,"(1, 1)",3,0.9,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.4193161487579347,"(1, 2)",3,0.9,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,0.9378100395202636,"(1, 1)",2,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.7601530075073242,"(1, 2)",2,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,1.0787618637084961,"(1, 1)",3,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,0.44315470171890803,0.0006471183013144532,2.0006471633911134,"(1, 2)",3,0.95,1.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.0269442081451416,"(1, 1)",2,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.8012483596801758,"(1, 2)",2,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.0667901515960694,"(1, 1)",3,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.8051831722259521,"(1, 2)",3,0.85,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.050040340423584,"(1, 1)",2,0.9,10.0,
64,0.4431435445068163,0.002566158781074579,1.0,0.0,1.8131130695343018,"(1, 2)",2,0.9,10.0,
