title,url,normalized_url,date_discovered,source
Review: 2023 Propain Tyee CF,https://www.pinkbike.com/news/review-propain-tyee-cf-2023.html,https://www.pinkbike.com/news/review-propain-tyee-cf-2023.html,,existing_review_links_csv
Review: 2023 Transition Smuggler - The Little Ripper,https://www.pinkbike.com/news/review-transition-smuggler-2023.html,https://www.pinkbike.com/news/review-transition-smuggler-2023.html,,existing_review_links_csv
Review: 2024 Fox Float Factory Shock,https://www.pinkbike.com/news/review-fox-float-shock-2024.html,https://www.pinkbike.com/news/review-fox-float-shock-2024.html,,existing_review_links_csv
"Review: 2024 Norco Optic - High Pivot, Short Travel",https://www.pinkbike.com/news/review-2024-norco-optic-high-pivot-short-travel.html,https://www.pinkbike.com/news/review-2024-norco-optic-high-pivot-short-travel.html,,existing_review_links_csv
Review: 2024 Norco Sight - For All the Mountains,https://www.pinkbike.com/news/review-2024-norco-sight-for-all-the-mountains.html,https://www.pinkbike.com/news/review-2024-norco-sight-for-all-the-mountains.html,,existing_review_links_csv
Review: 2024 Orbea Occam LT - Modernly Convenient,https://www.pinkbike.com/news/review-2024-orbea-occam-lt.html,https://www.pinkbike.com/news/review-2024-orbea-occam-lt.html,,existing_review_links_csv
Review: 2024 Orbea Rallon - Enduro-er Than Ever,https://www.pinkbike.com/news/review-2024-orbea-rallon-enduro-er-than-ever.html,https://www.pinkbike.com/news/review-2024-orbea-rallon-enduro-er-than-ever.html,,existing_review_links_csv
Review: 2024 YT Jeffsy Core 4 - A Good Friend,https://www.pinkbike.com/news/review-2024-yt-jeffsy-core-4.html,https://www.pinkbike.com/news/review-2024-yt-jeffsy-core-4.html,,existing_review_links_csv
Review: 2025 Forestal Siryon - Balanced Handling With Some Practical Pitfalls,https://www.pinkbike.com/news/review-forestal-siryon.html,https://www.pinkbike.com/news/review-forestal-siryon.html,,existing_review_links_csv
"Review: 2025 Knolly Warden - Pushing the Limits of Long, Low, & Slack",https://www.pinkbike.com/news/review-knolly-warden-2025.html,https://www.pinkbike.com/news/review-knolly-warden-2025.html,,existing_review_links_csv
Review: 2025 Kona Hei Hei G10,https://www.pinkbike.com/news/review-kona-hei-hei-g10.html,https://www.pinkbike.com/news/review-kona-hei-hei-g10.html,,existing_review_links_csv
Review: 2025 Santa Cruz Bullit eMTB,https://www.pinkbike.com/news/review-santa-cruz-bullit-2025.html,https://www.pinkbike.com/news/review-santa-cruz-bullit-2025.html,,existing_review_links_csv
Review: 2025 Trek Top Fuel - More Capable & Adaptable Than Ever,https://www.pinkbike.com/news/review-2025-trek-top-fuel-more-capable-and-adaptable-than-ever.html,https://www.pinkbike.com/news/review-2025-trek-top-fuel-more-capable-and-adaptable-than-ever.html,,existing_review_links_csv
Review: 2026 Devinci Spartan - A Canadian-Made Aluminum Beast,https://www.pinkbike.com/news/review-2026-devinci-spartan-the-canadian-made-beast.html,https://www.pinkbike.com/news/review-2026-devinci-spartan-the-canadian-made-beast.html,,existing_review_links_csv
Review: 2026 Trek Fuel LX / MX - The Secret Menu Option,https://www.pinkbike.com/news/review-2026-trek-fuel-lx--mx-the-secret-menu-option.html,https://www.pinkbike.com/news/review-2026-trek-fuel-lx--mx-the-secret-menu-option.html,,existing_review_links_csv
"Review: 3 of the Latest Burly Tailgate Pads from Dakine, Fox, & Send It",https://www.pinkbike.com/news/review-3-of-the-latest-burly-tailgate-pads-fox-dakine-send-it.html,https://www.pinkbike.com/news/review-3-of-the-latest-burly-tailgate-pads-fox-dakine-send-it.html,,existing_review_links_csv
